,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Chst81,0,0.341132037,0.844,0.218,0,22,Chst8
Rapgef52,0,0.340240262,0.978,0.684,0,22,Rapgef5
Pnmal11,0,0.339918612,0.987,0.885,0,22,Pnmal1
Dcakd2,0,0.338423664,0.99,0.888,0,22,Dcakd
Mapk15,0,0.337065921,1,0.987,0,22,Mapk1
Cyfip15,0,0.337059526,0.913,0.669,0,22,Cyfip1
Parp1,0,0.33577692,0.9,0.665,0,22,Parp1
Psd1,0,0.33385631,0.994,0.886,0,22,Psd
Rtn4rl22,0,0.332523022,0.974,0.452,0,22,Rtn4rl2
Ppm1e2,0,0.332173385,0.986,0.888,0,22,Ppm1e
Gal3st3,0,0.329685701,0.953,0.689,0,22,Gal3st3
Gm34466,0,0.329600964,0.545,0.022,0,22,Gm34466
Caln16,0,0.326153303,0.987,0.745,0,22,Caln1
Cadps24,0,0.321910474,0.859,0.465,0,22,Cadps2
Klk8,0,0.319387906,0.602,0.054,0,22,Klk8
Rasal11,0,0.319069246,0.895,0.489,0,22,Rasal1
Pkp2,0,0.318773571,0.744,0.123,0,22,Pkp2
Mdga11,0,0.317786826,0.69,0.157,0,22,Mdga1
Rnf1821,0,0.31715051,0.807,0.237,0,22,Rnf182
Dtnbp11,0,0.316036267,0.99,0.853,0,22,Dtnbp1
Sowaha1,0,0.313153819,0.917,0.612,0,22,Sowaha
R3hdm42,0,0.312365461,0.998,0.927,0,22,R3hdm4
Tanc14,0,0.310944293,0.786,0.217,0,22,Tanc1
Sstr4,0,0.310773784,0.817,0.281,0,22,Sstr4
Rab40b2,0,0.310654263,0.943,0.644,0,22,Rab40b
Slit11,0,0.309000821,0.895,0.516,0,22,Slit1
Nsg22,0,0.308974272,0.999,0.966,0,22,Nsg2
Ube2g2,0,0.308711268,0.946,0.744,0,22,Ube2g2
Stk251,0,0.306814042,0.999,0.963,0,22,Stk25
Kcnn25,0,0.306681694,0.932,0.656,0,22,Kcnn2
Htr5b,0,0.305627983,0.548,0.078,0,22,Htr5b
Rgl12,0,0.3054653,0.964,0.748,0,22,Rgl1
Adra2c1,0,0.305432441,0.808,0.328,0,22,Adra2c
Calm3,0,0.304374323,1,0.99,0,22,Calm3
Gpd23,0,0.302848037,0.962,0.775,0,22,Gpd2
Jph41,0,0.29939895,0.995,0.895,0,22,Jph4
Arpc4,0,0.299052513,0.998,0.976,0,22,Arpc4
Anln1,0,0.296209625,0.469,0.035,0,22,Anln
Efna3,0,0.295391316,0.977,0.701,0,22,Efna3
Msrb21,0,0.293948201,0.959,0.718,0,22,Msrb2
Grin2a1,0,0.28910874,0.922,0.658,0,22,Grin2a
Hsp90ab11,0,0.289081344,1,0.997,0,22,Hsp90ab1
Numbl1,0,0.286400351,0.954,0.748,0,22,Numbl
Gm21641,0,0.285368669,0.666,0.09,0,22,Gm2164
Pycr2,0,0.284188874,0.952,0.753,0,22,Pycr2
Chrd,0,0.283171433,0.851,0.414,0,22,Chrd
Tmem150c1,0,0.280636096,0.897,0.387,0,22,Tmem150c
Slit31,0,0.278682638,0.991,0.544,0,22,Slit3
Efnb33,0,0.27709315,0.838,0.319,0,22,Efnb3
Ak4,0,0.276969166,0.842,0.502,0,22,Ak4
Ust3,0,0.276077327,0.737,0.282,0,22,Ust
Shisa62,0,0.275509268,0.738,0.256,0,22,Shisa6
Nhsl12,0,0.273766897,0.732,0.179,0,22,Nhsl1
Htr1a1,0,0.27260795,0.55,0.206,0,22,Htr1a
Rogdi3,0,0.271520484,0.999,0.975,0,22,Rogdi
Nrp14,0,0.271483446,0.842,0.446,0,22,Nrp1
Limd25,0,0.269982892,0.987,0.819,0,22,Limd2
Slc16a14,0,0.26793046,0.722,0.336,0,22,Slc16a1
Adcy91,0,0.266328582,0.954,0.655,0,22,Adcy9
9-Sep,0,0.266301574,0.889,0.519,0,22,9-Sep
Mrfap12,0,0.265532207,1,0.993,0,22,Mrfap1
Ywhaz2,0,0.265431171,1,0.997,0,22,Ywhaz
Lypd13,0,0.265075722,0.799,0.352,0,22,Lypd1
Foxg11,0,0.263011104,0.994,0.918,0,22,Foxg1
Rspo31,0,0.262391064,0.828,0.444,0,22,Rspo3
Zdhhc142,0,0.262146304,0.877,0.575,0,22,Zdhhc14
Cntnap5c2,0,0.258224925,0.817,0.331,0,22,Cntnap5c
Rap2b,0,0.256180015,0.969,0.647,0,22,Rap2b
Nos11,0,0.255883537,0.626,0.223,0,22,Nos1
Dnal41,0,0.255615877,0.986,0.856,0,22,Dnal4
Fam189a1,0,0.253283459,0.942,0.647,0,22,Fam189a1
Emc101,0,0.25320813,0.999,0.982,0,22,Emc10
Slc1a11,1.36E-307,0.384119748,0.967,0.834,5.72E-303,22,Slc1a1
Nckap13,2.85E-306,0.459019292,0.999,0.974,1.19E-301,22,Nckap1
Map4,4.52E-305,0.532479681,0.995,0.973,1.90E-300,22,Map4
Nsmf2,5.91E-302,0.329223631,0.979,0.853,2.48E-297,22,Nsmf
Snd1,1.03E-301,0.28860038,0.915,0.687,4.31E-297,22,Snd1
Capzb2,1.63E-301,0.266455686,1,0.987,6.84E-297,22,Capzb
Myo5b1,4.17E-300,0.379025,0.591,0.286,1.75E-295,22,Myo5b
Btbd91,6.03E-300,0.300574936,0.975,0.853,2.53E-295,22,Btbd9
Grm52,1.23E-299,0.323935629,0.998,0.953,5.17E-295,22,Grm5
Ntrk33,1.85E-297,0.288766766,0.977,0.744,7.76E-293,22,Ntrk3
Gsta43,2.72E-296,0.392424939,0.898,0.623,1.14E-291,22,Gsta4
Slc25a221,7.99E-296,0.357719529,0.996,0.928,3.35E-291,22,Slc25a22
Gaa7,2.90E-295,0.427678432,0.99,0.933,1.22E-290,22,Gaa
Camkk12,5.98E-294,0.339362671,0.956,0.714,2.51E-289,22,Camkk1
Wdr11,6.61E-293,0.363260548,0.992,0.93,2.77E-288,22,Wdr1
Cdk171,2.28E-292,0.395759886,0.991,0.911,9.57E-288,22,Cdk17
Phf20,2.50E-292,0.275866963,0.974,0.857,1.05E-287,22,Phf20
Serpina3n2,3.07E-290,0.378795627,0.534,0.238,1.29E-285,22,Serpina3n
Fam65a,3.46E-290,0.256663315,0.948,0.775,1.45E-285,22,Fam65a
Tgfb24,1.49E-289,0.308825308,0.49,0.196,6.25E-285,22,Tgfb2
Npdc11,4.47E-288,0.302994017,0.999,0.981,1.88E-283,22,Npdc1
Gng103,7.94E-287,0.266382773,0.982,0.905,3.33E-282,22,Gng10
Celsr21,3.70E-286,0.259201379,0.994,0.91,1.55E-281,22,Celsr2
Bin14,4.32E-286,0.274369994,0.996,0.929,1.81E-281,22,Bin1
Pole43,2.50E-283,0.330365184,0.985,0.906,1.05E-278,22,Pole4
Mast33,6.05E-283,0.319174159,0.975,0.726,2.54E-278,22,Mast3
Gprin1,1.82E-279,0.302517202,0.933,0.744,7.63E-275,22,Gprin1
Ankrd461,1.94E-279,0.328144349,0.996,0.956,8.14E-275,22,Ankrd46
Cpt1c,3.77E-279,0.298768137,0.979,0.868,1.58E-274,22,Cpt1c
Ap2b1,7.88E-279,0.294589286,0.996,0.954,3.30E-274,22,Ap2b1
Sdcbp4,1.47E-278,0.33139464,0.996,0.961,6.16E-274,22,Sdcbp
Elmo23,2.03E-278,0.358730968,0.968,0.815,8.52E-274,22,Elmo2
Kcnip23,3.29E-277,0.361771446,0.857,0.586,1.38E-272,22,Kcnip2
Smim151,4.38E-277,0.344309999,0.96,0.81,1.84E-272,22,Smim15
2510003E04Rik2,5.80E-277,0.290372117,0.999,0.955,2.43E-272,22,2510003E04Rik
Arhgef253,1.66E-276,0.29088861,0.964,0.825,6.97E-272,22,Arhgef25
Slc8a12,4.45E-274,0.331265774,0.996,0.874,1.86E-269,22,Slc8a1
Rasl10a3,4.77E-274,0.33553243,0.859,0.5,2.00E-269,22,Rasl10a
Osbpl61,4.71E-273,0.271609298,0.971,0.837,1.97E-268,22,Osbpl6
Lypla22,3.19E-272,0.251497468,0.977,0.884,1.34E-267,22,Lypla2
Rbfox13,1.73E-270,0.380771328,0.996,0.934,7.27E-266,22,Rbfox1
Prkag2,1.45E-269,0.253027523,0.984,0.849,6.08E-265,22,Prkag2
Exoc6b2,2.69E-269,0.351214581,0.915,0.72,1.13E-264,22,Exoc6b
Slc17a73,1.02E-268,0.402250485,0.999,0.685,4.28E-264,22,Slc17a7
Trim351,2.58E-264,0.303619366,0.993,0.924,1.08E-259,22,Trim35
Strn41,6.03E-264,0.331606939,0.986,0.889,2.53E-259,22,Strn4
Ube2e22,1.93E-263,0.311405711,0.997,0.953,8.07E-259,22,Ube2e2
Nrip11,7.41E-261,0.267472188,0.892,0.663,3.11E-256,22,Nrip1
Capza23,1.62E-259,0.294283489,0.998,0.986,6.80E-255,22,Capza2
Zeb27,3.11E-258,0.329691329,0.945,0.818,1.30E-253,22,Zeb2
Usp462,1.21E-257,0.315973466,0.973,0.813,5.07E-253,22,Usp46
Rmnd5b,2.30E-257,0.269571054,0.985,0.843,9.64E-253,22,Rmnd5b
Kctd63,1.58E-256,0.283253955,0.971,0.808,6.61E-252,22,Kctd6
Cmip1,2.71E-254,0.292470622,0.999,0.963,1.13E-249,22,Cmip
Chn13,1.70E-253,0.366245244,0.999,0.98,7.13E-249,22,Chn1
Camta2,9.23E-253,0.33396004,0.973,0.882,3.87E-248,22,Camta2
8430419L09Rik1,1.73E-252,0.315540004,0.993,0.929,7.23E-248,22,8430419L09Rik
Cdc42se21,4.01E-252,0.37074318,0.979,0.897,1.68E-247,22,Cdc42se2
Mical2,8.27E-252,0.366173836,0.989,0.89,3.47E-247,22,Mical2
Pnkd1,5.02E-250,0.312570593,0.995,0.967,2.10E-245,22,Pnkd
Dnaja41,5.48E-250,0.302464492,0.938,0.754,2.30E-245,22,Dnaja4
Fam171b1,7.97E-249,0.30009528,0.997,0.967,3.34E-244,22,Fam171b
Tnfrsf211,1.30E-247,0.305676855,0.934,0.75,5.44E-243,22,Tnfrsf21
Nos1ap1,2.35E-246,0.266966816,0.957,0.783,9.84E-242,22,Nos1ap
Kcnd21,4.55E-246,0.291998744,0.946,0.742,1.91E-241,22,Kcnd2
Sphkap1,1.47E-244,0.301512501,0.966,0.746,6.18E-240,22,Sphkap
Rnf1122,1.69E-242,0.310599421,0.986,0.835,7.06E-238,22,Rnf112
Fezf22,1.91E-241,0.252963241,0.725,0.338,8.00E-237,22,Fezf2
Lsm81,2.37E-241,0.299813025,0.994,0.924,9.94E-237,22,Lsm8
Dusp65,9.83E-241,0.404240698,0.858,0.63,4.12E-236,22,Dusp6
Prrt22,1.26E-240,0.320010133,0.995,0.908,5.30E-236,22,Prrt2
Junb7,1.29E-235,0.331958319,0.964,0.732,5.42E-231,22,Junb
Otub22,3.64E-235,0.287887813,0.881,0.632,1.53E-230,22,Otub2
Ap1s12,2.96E-234,0.305196708,0.999,0.969,1.24E-229,22,Ap1s1
Pkm1,5.85E-234,0.259290573,1,0.994,2.45E-229,22,Pkm
Ramp13,2.67E-233,0.316662954,0.985,0.739,1.12E-228,22,Ramp1
Pja21,7.53E-232,0.323648211,0.998,0.976,3.16E-227,22,Pja2
Arl6ip13,1.07E-230,0.263818221,1,0.989,4.48E-226,22,Arl6ip1
Wasl1,1.30E-228,0.26913562,0.997,0.949,5.47E-224,22,Wasl
Stx61,4.82E-226,0.28228885,0.967,0.844,2.02E-221,22,Stx6
Dgkz2,1.69E-225,0.32337761,0.973,0.83,7.08E-221,22,Dgkz
Gpt22,4.96E-225,0.30965186,0.774,0.539,2.08E-220,22,Gpt2
Fkbp1b1,1.82E-223,0.268554616,0.974,0.836,7.61E-219,22,Fkbp1b
Ppapdc21,5.09E-223,0.386172207,0.897,0.688,2.13E-218,22,Ppapdc2
Myadm3,1.09E-219,0.292484819,0.947,0.761,4.55E-215,22,Myadm
Cdc401,3.42E-219,0.281948484,0.949,0.777,1.43E-214,22,Cdc40
Sh3bgrl35,1.77E-218,0.250512515,0.999,0.981,7.42E-214,22,Sh3bgrl3
Sorl11,1.16E-214,0.31599586,0.952,0.778,4.86E-210,22,Sorl1
Abracl1,6.84E-212,0.285959557,0.896,0.682,2.87E-207,22,Abracl
Disp24,3.49E-210,0.288027425,0.983,0.906,1.46E-205,22,Disp2
Sh3bgrl8,6.35E-209,0.268060061,0.963,0.862,2.66E-204,22,Sh3bgrl
Apba2,2.81E-207,0.25859949,0.988,0.909,1.18E-202,22,Apba2
Sh3gl22,8.01E-207,0.341907014,0.996,0.931,3.36E-202,22,Sh3gl2
Lrpap13,1.83E-201,0.33117748,0.999,0.98,7.69E-197,22,Lrpap1
Syp1,4.44E-201,0.251773295,1,0.979,1.86E-196,22,Syp
Gm345832,1.05E-200,0.421831825,0.457,0.206,4.41E-196,22,Gm34583
Syn22,1.77E-200,0.388801813,0.996,0.973,7.43E-196,22,Syn2
Rnf21,8.82E-200,0.25617168,0.867,0.687,3.70E-195,22,Rnf2
Mbnl22,1.24E-197,0.257863873,0.998,0.966,5.20E-193,22,Mbnl2
Itpr1,5.03E-197,0.284499141,0.97,0.797,2.11E-192,22,Itpr1
Pde2a1,4.41E-196,0.294973293,0.988,0.894,1.85E-191,22,Pde2a
Gabrb32,3.28E-194,0.297326996,0.995,0.922,1.37E-189,22,Gabrb3
Grin1,3.34E-194,0.278952816,0.993,0.937,1.40E-189,22,Grin1
Synj11,4.64E-192,0.253279404,0.998,0.961,1.95E-187,22,Synj1
Cck4,2.87E-190,0.331301175,0.997,0.798,1.20E-185,22,Cck
Slc35c21,1.55E-186,0.276421643,0.887,0.719,6.50E-182,22,Slc35c2
Gabrb12,1.34E-185,0.253151887,0.993,0.922,5.61E-181,22,Gabrb1
Zdhhc2,6.11E-184,0.398260019,0.89,0.788,2.56E-179,22,Zdhhc2
Nudt91,4.38E-179,0.256561098,0.989,0.928,1.84E-174,22,Nudt9
Kcnab12,1.48E-177,0.450557281,0.832,0.664,6.21E-173,22,Kcnab1
Tubb2a5,5.70E-177,0.255038654,1,0.992,2.39E-172,22,Tubb2a
Frrs1l,7.87E-175,0.356970704,0.99,0.923,3.30E-170,22,Frrs1l
Crtac13,8.22E-175,0.447441851,0.833,0.69,3.44E-170,22,Crtac1
Egr42,1.78E-174,0.328726053,0.787,0.501,7.47E-170,22,Egr4
Mtfp12,1.03E-173,0.253733057,0.996,0.929,4.33E-169,22,Mtfp1
Svop,6.52E-171,0.25394249,0.971,0.87,2.73E-166,22,Svop
Pea15a6,1.20E-170,0.445294713,0.988,0.979,5.02E-166,22,Pea15a
Ctxn13,7.67E-153,0.280522994,1,0.88,3.22E-148,22,Ctxn1
Hpcal43,7.83E-153,0.256505252,0.999,0.928,3.28E-148,22,Hpcal4
Cyfip21,8.98E-141,0.259821179,0.975,0.893,3.76E-136,22,Cyfip2
Ldb22,2.23E-139,0.260150915,0.875,0.619,9.34E-135,22,Ldb2
Arhgef31,1.58E-135,0.252442969,0.826,0.661,6.63E-131,22,Arhgef3
Cx3cl11,1.10E-133,0.299315879,0.999,0.971,4.60E-129,22,Cx3cl1
Ak53,2.54E-133,0.438254015,0.865,0.784,1.07E-128,22,Ak5
Epha71,4.79E-126,0.557214797,0.859,0.745,2.01E-121,22,Epha7
Igfbp44,1.30E-100,0.399764309,0.646,0.484,5.46E-96,22,Igfbp4
Timp28,5.29E-90,0.478280338,0.779,0.791,2.22E-85,22,Timp2
Cadm13,2.26E-74,0.309175475,0.994,0.979,9.46E-70,22,Cadm1
,,,,,,,
Nnat4,0,2.162851872,0.996,0.287,0,23,Nnat
Nr4a24,0,1.628256466,0.99,0.332,0,23,Nr4a2
Gpr1231,0,1.350247202,0.999,0.852,0,23,Gpr123
Igsf212,0,1.06159437,0.986,0.552,0,23,Igsf21
Brinp35,1.40E-296,1.049934753,0.946,0.537,5.87E-292,23,Brinp3
Hpcal44,0,1.006776467,0.997,0.929,0,23,Hpcal4
Crym3,0,0.992779365,0.958,0.405,0,23,Crym
Meis22,0,0.978340332,0.924,0.38,0,23,Meis2
Hs3st41,0,0.888523197,0.985,0.389,0,23,Hs3st4
Pcp45,8.28E-204,0.884637617,0.995,0.713,3.47E-199,23,Pcp4
Prkcb2,0,0.87640925,0.999,0.957,0,23,Prkcb
6-Nov,2.01E-199,0.876220958,0.906,0.554,8.44E-195,23,Nov
Sez67,0,0.873890459,0.999,0.795,0,23,Sez6
Rxfp14,0,0.86121564,0.856,0.214,0,23,Rxfp1
3110035E14Rik1,2.62E-230,0.854693064,0.997,0.671,1.10E-225,23,3110035E14Rik
Gabra54,8.08E-235,0.854662243,0.955,0.644,3.39E-230,23,Gabra5
Pbx12,0,0.853065681,0.999,0.858,0,23,Pbx1
Lmo34,4.34E-273,0.786230033,0.993,0.7,1.82E-268,23,Lmo3
Atp2b43,0,0.778021764,0.996,0.565,0,23,Atp2b4
Pde1a5,5.17E-194,0.753166054,0.99,0.676,2.17E-189,23,Pde1a
Gsta44,2.31E-259,0.728644643,0.963,0.627,9.67E-255,23,Gsta4
Fxyd72,0,0.72653879,0.999,0.807,0,23,Fxyd7
Ttc9b1,9.58E-293,0.726107808,1,0.95,4.02E-288,23,Ttc9b
Camkv2,9.51E-256,0.719796283,0.999,0.907,3.99E-251,23,Camkv
B3galt23,6.35E-234,0.714614956,0.993,0.76,2.66E-229,23,B3galt2
Rasgrp14,1.53E-226,0.713956028,0.996,0.726,6.43E-222,23,Rasgrp1
Tle42,2.30E-299,0.713871106,0.989,0.603,9.62E-295,23,Tle4
Nmbr1,0,0.702698814,0.652,0.088,0,23,Nmbr
Basp11,0,0.687404399,1,0.977,0,23,Basp1
Prkcg2,3.14E-211,0.683787516,0.99,0.755,1.32E-206,23,Prkcg
Mpped15,8.05E-230,0.683503584,0.993,0.746,3.37E-225,23,Mpped1
Col5a11,6.18E-120,0.681704232,0.499,0.206,2.59E-115,23,Col5a1
Galnt93,5.11E-200,0.680616734,0.954,0.703,2.14E-195,23,Galnt9
Cpe4,9.07E-297,0.679286644,1,0.994,3.80E-292,23,Cpe
Arpc33,0,0.677744937,1,0.983,0,23,Arpc3
Itm2c6,5.93E-221,0.677140372,1,0.99,2.49E-216,23,Itm2c
Gpd24,3.58E-242,0.672506727,0.973,0.778,1.50E-237,23,Gpd2
Marcksl17,3.12E-170,0.656413069,0.922,0.583,1.31E-165,23,Marcksl1
Rprml2,5.58E-264,0.64987656,0.996,0.699,2.34E-259,23,Rprml
Atp2b14,1.69E-215,0.644775899,1,0.974,7.08E-211,23,Atp2b1
Gabrb13,5.16E-228,0.638534298,0.997,0.923,2.16E-223,23,Gabrb1
Khdrbs3,1.54E-242,0.630239458,0.999,0.945,6.46E-238,23,Khdrbs3
Plcxd31,8.90E-232,0.625511441,0.819,0.367,3.73E-227,23,Plcxd3
Lxn3,2.44E-176,0.622588481,0.878,0.59,1.02E-171,23,Lxn
Ncald3,5.13E-206,0.617094132,0.999,0.947,2.15E-201,23,Ncald
Adora11,2.40E-211,0.596049954,0.977,0.675,1.01E-206,23,Adora1
Dynll16,2.43E-250,0.594082149,1,0.998,1.02E-245,23,Dynll1
Caln17,1.62E-176,0.593463476,0.97,0.75,6.79E-172,23,Caln1
Tmem1582,1.33E-82,0.589693939,0.822,0.804,5.59E-78,23,Tmem158
Pcsk53,0,0.588231829,0.868,0.278,0,23,Pcsk5
Brd9,1.11E-250,0.58532957,0.999,0.98,4.63E-246,23,Brd9
Rbfox31,3.44E-249,0.584363829,0.999,0.95,1.44E-244,23,Rbfox3
Myt1l,9.96E-224,0.58393822,0.996,0.966,4.18E-219,23,Myt1l
Klf9,4.49E-239,0.582634194,0.993,0.878,1.88E-234,23,Klf9
Fezf23,0,0.579723896,0.947,0.343,0,23,Fezf2
Tbr12,1.43E-222,0.576453104,0.996,0.612,5.99E-218,23,Tbr1
Nfix1,1.21E-233,0.573540169,0.999,0.845,5.09E-229,23,Nfix
Chd31,1.06E-279,0.564369939,0.999,0.943,4.46E-275,23,Chd3
Sox111,4.27E-282,0.564178298,0.948,0.579,1.79E-277,23,Sox11
Trib23,4.20E-215,0.557027626,0.917,0.538,1.76E-210,23,Trib2
Cnih3,7.51E-115,0.553328094,0.894,0.618,3.15E-110,23,Cnih3
Pcdh91,4.71E-142,0.550932661,0.995,0.868,1.98E-137,23,Pcdh9
Diras22,3.28E-160,0.546963737,0.984,0.776,1.38E-155,23,Diras2
Hs6st22,4.35E-225,0.546602002,0.92,0.524,1.82E-220,23,Hs6st2
Ctxn14,4.37E-176,0.544771218,1,0.883,1.83E-171,23,Ctxn1
Rasgef1a2,2.48E-217,0.544418932,0.997,0.898,1.04E-212,23,Rasgef1a
Timp29,8.27E-141,0.543749458,0.984,0.788,3.47E-136,23,Timp2
Galnt181,2.41E-162,0.543319884,0.893,0.599,1.01E-157,23,Galnt18
Efhd22,4.12E-166,0.543274819,0.999,0.937,1.73E-161,23,Efhd2
Ahi16,7.07E-173,0.538215603,1,0.979,2.96E-168,23,Ahi1
Pls35,2.97E-113,0.520710633,0.985,0.912,1.25E-108,23,Pls3
Epha53,4.52E-198,0.51781125,0.996,0.88,1.89E-193,23,Epha5
Arl6ip14,7.57E-213,0.516796587,0.999,0.989,3.17E-208,23,Arl6ip1
Ano32,3.89E-155,0.515581462,0.986,0.689,1.63E-150,23,Ano3
Bcl11b4,9.55E-266,0.511302868,0.977,0.54,4.00E-261,23,Bcl11b
Cryab5,4.49E-104,0.510436766,0.786,0.464,1.88E-99,23,Cryab
Tshz21,1.15E-72,0.51029537,0.438,0.198,4.82E-68,23,Tshz2
Fxyd65,2.95E-149,0.509625738,0.999,0.775,1.24E-144,23,Fxyd6
Cmbl2,0,0.506070827,0.769,0.218,0,23,Cmbl
Baiap23,6.75E-154,0.505200743,1,0.798,2.83E-149,23,Baiap2
Crip24,1.91E-144,0.505144736,0.993,0.828,8.02E-140,23,Crip2
Grin2b3,3.03E-209,0.497311784,1,0.979,1.27E-204,23,Grin2b
Pgm2l12,1.04E-169,0.495016217,1,0.949,4.35E-165,23,Pgm2l1
Slc8a13,6.44E-139,0.490233055,0.984,0.876,2.70E-134,23,Slc8a1
Brk12,3.53E-224,0.488791354,1,0.99,1.48E-219,23,Brk1
Celf44,7.40E-236,0.486006583,1,0.976,3.10E-231,23,Celf4
Mdga12,0,0.485996864,0.773,0.166,0,23,Mdga1
Fgf113,4.59E-287,0.484724482,0.841,0.33,1.93E-282,23,Fgf11
Shank11,2.46E-200,0.483887423,1,0.979,1.03E-195,23,Shank1
Slc1a22,4.10E-162,0.480032708,0.995,0.827,1.72E-157,23,Slc1a2
Nhp21,1.63E-208,0.479993198,0.986,0.929,6.83E-204,23,Nhp2
Syn23,7.15E-167,0.472141944,0.999,0.973,3.00E-162,23,Syn2
Camk4,3.87E-146,0.470773616,0.993,0.794,1.62E-141,23,Camk4
Ogfrl14,1.98E-153,0.469606164,0.993,0.959,8.31E-149,23,Ogfrl1
Cyth22,1.43E-161,0.469298404,0.982,0.934,5.99E-157,23,Cyth2
Nat142,6.89E-214,0.468364358,0.989,0.937,2.89E-209,23,Nat14
Snca3,1.96E-137,0.467193729,0.999,0.952,8.21E-133,23,Snca
Sstr21,4.44E-121,0.465600012,0.727,0.414,1.86E-116,23,Sstr2
Ngef3,6.10E-141,0.46434337,0.995,0.832,2.56E-136,23,Ngef
Gap433,3.65E-95,0.464313517,0.999,0.92,1.53E-90,23,Gap43
Phactr1,4.16E-156,0.459184869,0.997,0.927,1.74E-151,23,Phactr1
Syt51,5.21E-172,0.457070687,0.996,0.94,2.18E-167,23,Syt5
Tmsb105,5.19E-153,0.457042201,1,0.954,2.18E-148,23,Tmsb10
Ndn5,1.62E-68,0.453116584,0.884,0.793,6.80E-64,23,Ndn
Thsd7b1,0,0.451827209,0.837,0.179,0,23,Thsd7b
Ly6h5,3.47E-199,0.451245428,1,0.962,1.45E-194,23,Ly6h
Neurod62,3.41E-109,0.450561929,0.997,0.612,1.43E-104,23,Neurod6
Celf22,1.26E-147,0.449304504,1,0.986,5.27E-143,23,Celf2
Rasal12,2.63E-168,0.444043967,0.873,0.497,1.10E-163,23,Rasal1
Nrn12,8.39E-51,0.444043275,0.891,0.659,3.51E-46,23,Nrn1
Med101,4.49E-189,0.433576943,0.992,0.928,1.88E-184,23,Med10
Prkce1,1.86E-238,0.432679581,0.999,0.959,7.79E-234,23,Prkce
Eno11,1.37E-195,0.431555141,1,0.996,5.73E-191,23,Eno1
Grik32,2.67E-276,0.431507257,0.909,0.392,1.12E-271,23,Grik3
Mkl22,2.63E-165,0.428855524,1,0.924,1.10E-160,23,Mkl2
Rims2,6.26E-138,0.427740754,1,0.937,2.62E-133,23,Rims2
Enc14,5.14E-124,0.427094642,0.995,0.803,2.16E-119,23,Enc1
Jph42,6.43E-202,0.425305217,0.988,0.897,2.69E-197,23,Jph4
Rab261,3.98E-107,0.42255636,0.903,0.697,1.67E-102,23,Rab26
Parm14,4.66E-216,0.422314239,0.876,0.361,1.95E-211,23,Parm1
Gsg1l2,2.72E-165,0.417682803,0.797,0.397,1.14E-160,23,Gsg1l
Cyb5611,3.35E-107,0.414749227,0.952,0.824,1.40E-102,23,Cyb561
Celsr22,2.20E-161,0.406162868,0.989,0.912,9.23E-157,23,Celsr2
Grm53,5.45E-107,0.40408622,0.997,0.954,2.28E-102,23,Grm5
Ccdc85b1,1.45E-217,0.400859001,0.997,0.97,6.06E-213,23,Ccdc85b
Matk2,2.50E-140,0.396919523,0.997,0.952,1.05E-135,23,Matk
Ccl27a1,3.98E-127,0.393182559,1,0.972,1.67E-122,23,Ccl27a
Lefty2,0,0.390075945,0.566,0.042,0,23,Lefty2
Ccnd22,1.29E-144,0.388920071,0.992,0.821,5.40E-140,23,Ccnd2
Gria31,2.41E-94,0.38568745,0.993,0.831,1.01E-89,23,Gria3
Tmod22,1.17E-134,0.383967238,0.993,0.967,4.89E-130,23,Tmod2
Lrrtm2,4.56E-101,0.38118404,0.944,0.76,1.91E-96,23,Lrrtm2
Ociad25,3.36E-95,0.38066264,0.993,0.867,1.41E-90,23,Ociad2
Brinp2,8.22E-114,0.378949347,0.956,0.74,3.45E-109,23,Brinp2
Foxp12,1.50E-113,0.378365894,0.984,0.855,6.28E-109,23,Foxp1
St6galnac54,3.16E-140,0.376583885,0.914,0.521,1.33E-135,23,St6galnac5
Rmnd5b1,3.81E-108,0.372189072,0.937,0.846,1.60E-103,23,Rmnd5b
Ssbp41,3.97E-214,0.371435271,0.999,0.984,1.67E-209,23,Ssbp4
Icam53,7.48E-121,0.369547943,0.956,0.738,3.14E-116,23,Icam5
Anks1b3,1.28E-154,0.369504028,1,0.969,5.36E-150,23,Anks1b
Kcnmb41,4.11E-191,0.366421154,0.99,0.807,1.72E-186,23,Kcnmb4
Fdft14,5.06E-102,0.364923303,0.974,0.903,2.12E-97,23,Fdft1
Nr3c11,1.79E-98,0.364644062,0.966,0.864,7.49E-94,23,Nr3c1
Cntnap42,1.67E-183,0.362152183,0.808,0.334,6.99E-179,23,Cntnap4
Slc35f14,1.04E-113,0.361434055,0.905,0.7,4.37E-109,23,Slc35f1
Gm26871,1.19E-106,0.357965415,0.88,0.639,4.98E-102,23,Gm26871
Ipcef11,2.07E-121,0.356241651,0.905,0.558,8.66E-117,23,Ipcef1
Fam110b,7.44E-107,0.355671142,0.868,0.699,3.12E-102,23,Fam110b
Pacsin11,2.84E-121,0.354930131,0.996,0.964,1.19E-116,23,Pacsin1
Pkig5,6.21E-125,0.352033674,0.988,0.971,2.60E-120,23,Pkig
Klf132,4.74E-193,0.351342398,0.993,0.945,1.99E-188,23,Klf13
Ptpru1,1.97E-217,0.347872558,0.814,0.334,8.27E-213,23,Ptpru
Myl12b2,9.48E-196,0.347677259,1,0.993,3.97E-191,23,Myl12b
